date,division,index
2010-01-01,overall,99.4
2010-02-01,overall,99.4
2010-03-01,overall,99.4
2010-04-01,overall,99.4
2010-05-01,overall,99.6
2010-06-01,overall,99.7
2010-07-01,overall,100.0
2010-08-01,overall,100.3
2010-09-01,overall,100.4
2010-10-01,overall,100.6
2010-11-01,overall,100.8
2010-12-01,overall,101.2
2011-01-01,overall,101.8
2011-02-01,overall,102.3
2011-03-01,overall,102.4
2011-04-01,overall,102.6
2011-05-01,overall,102.9
2011-06-01,overall,103.2
2011-07-01,overall,103.4
2011-08-01,overall,103.6
2011-09-01,overall,103.9
2011-10-01,overall,104.0
2011-11-01,overall,104.1
2011-12-01,overall,104.2
2012-01-01,overall,104.5
2012-02-01,overall,104.5
2012-03-01,overall,104.5
2012-04-01,overall,104.5
2012-05-01,overall,104.7
2012-06-01,overall,104.8
2012-07-01,overall,104.8
2012-08-01,overall,105.0
2012-09-01,overall,105.2
2012-10-01,overall,105.4
2012-11-01,overall,105.5
2012-12-01,overall,105.5
2013-01-01,overall,105.9
2013-02-01,overall,106.1
2013-03-01,overall,106.2
2013-04-01,overall,106.3
2013-05-01,overall,106.6
2013-06-01,overall,106.7
2013-07-01,overall,106.9
2013-08-01,overall,107.0
2013-09-01,overall,107.9
2013-10-01,overall,108.3
2013-11-01,overall,108.6
2013-12-01,overall,108.9
2014-01-01,overall,109.5
2014-02-01,overall,109.8
2014-03-01,overall,109.9
2014-04-01,overall,109.9
2014-05-01,overall,110.0
2014-06-01,overall,110.2
2014-07-01,overall,110.3
2014-08-01,overall,110.5
2014-09-01,overall,110.7
2014-10-01,overall,111.3
2014-11-01,overall,111.9
2014-12-01,overall,111.8
2015-01-01,overall,110.6
2015-02-01,overall,109.9
2015-03-01,overall,110.9
2015-04-01,overall,111.9
2015-05-01,overall,112.3
2015-06-01,overall,113.0
2015-07-01,overall,113.9
2015-08-01,overall,113.9
2015-09-01,overall,113.6
2015-10-01,overall,114.1
2015-11-01,overall,114.8
2015-12-01,overall,114.8
2016-01-01,overall,114.5
2016-02-01,overall,114.5
2016-03-01,overall,113.8
2016-04-01,overall,114.3
2016-05-01,overall,114.6
2016-06-01,overall,114.8
2016-07-01,overall,115.1
2016-08-01,overall,115.6
2016-09-01,overall,115.3
2016-10-01,overall,115.7
2016-11-01,overall,116.8
2016-12-01,overall,116.8
2017-01-01,overall,118.1
2017-02-01,overall,119.6
2017-03-01,overall,119.4
2017-04-01,overall,119.2
2017-05-01,overall,119.0
2017-06-01,overall,118.7
2017-07-01,overall,118.7
2017-08-01,overall,119.8
2017-09-01,overall,120.1
2017-10-01,overall,120.0
2017-11-01,overall,120.8
2017-12-01,overall,120.9
2018-01-01,overall,121.3
2018-02-01,overall,121.3
2018-03-01,overall,120.9
2018-04-01,overall,120.9
2018-05-01,overall,121.1
2018-06-01,overall,119.6
2018-07-01,overall,119.8
2018-08-01,overall,120.0
2018-09-01,overall,120.5
2018-10-01,overall,120.7
2018-11-01,overall,121.0
2018-12-01,overall,121.1
2019-01-01,overall,120.5
2019-02-01,overall,120.8
2019-03-01,overall,121.1
2019-04-01,overall,121.1
2019-05-01,overall,121.4
2019-06-01,overall,121.4
2019-07-01,overall,121.5
2019-08-01,overall,121.8
2019-09-01,overall,121.8
2019-10-01,overall,122.0
2019-11-01,overall,122.1
2019-12-01,overall,122.3
2020-01-01,overall,122.4
2020-02-01,overall,122.4
2020-03-01,overall,120.9
2020-04-01,overall,117.6
2020-05-01,overall,117.9
2020-06-01,overall,119.1
2020-07-01,overall,119.9
2020-08-01,overall,120.1
2020-09-01,overall,120.1
2020-10-01,overall,120.2
2020-11-01,overall,120.0
2020-12-01,overall,120.6
2021-01-01,overall,122.1
2021-02-01,overall,122.5
2021-03-01,overall,122.9
2021-04-01,overall,123.1
2021-05-01,overall,123.1
2021-06-01,overall,123.2
2021-07-01,overall,122.5
2021-08-01,overall,122.5
2021-09-01,overall,122.8
2021-10-01,overall,123.7
2021-11-01,overall,124.0
2021-12-01,overall,124.5
2022-01-01,overall,124.9
2022-02-01,overall,125.2
2022-03-01,overall,125.6
2022-04-01,overall,125.9
2022-05-01,overall,126.6
2022-06-01,overall,127.4
2022-07-01,overall,127.9
2022-08-01,overall,128.2
2022-09-01,overall,128.3
2022-10-01,overall,128.6
2022-11-01,overall,129.0
2022-12-01,overall,129.2
2023-01-01,overall,129.5
2023-02-01,overall,129.8
2023-03-01,overall,129.9
2023-04-01,overall,130.0
2023-05-01,overall,130.2
2023-06-01,overall,130.4
2023-07-01,overall,130.5
2023-08-01,overall,130.7
2023-09-01,overall,130.8
2023-10-01,overall,130.9
2023-11-01,overall,130.9
2023-12-01,overall,131.2
2024-01-01,overall,131.4
2024-02-01,overall,132.1
2024-03-01,overall,132.2
2024-04-01,overall,132.4
2010-01-01,01,99.0
2010-02-01,01,99.0
2010-03-01,01,99.0
2010-04-01,01,99.1
2010-05-01,01,99.5
2010-06-01,01,100.0
2010-07-01,01,100.2
2010-08-01,01,100.5
2010-09-01,01,100.5
2010-10-01,01,100.6
2010-11-01,01,101.1
2010-12-01,01,101.4
2011-01-01,01,102.6
2011-02-01,01,103.7
2011-03-01,01,103.7
2011-04-01,01,104.0
2011-05-01,01,104.0
2011-06-01,01,104.7
2011-07-01,01,105.1
2011-08-01,01,105.1
2011-09-01,01,105.5
2011-10-01,01,106.3
2011-11-01,01,106.3
2011-12-01,01,106.6
2012-01-01,01,107.5
2012-02-01,01,106.7
2012-03-01,01,106.7
2012-04-01,01,106.4
2012-05-01,01,107.1
2012-06-01,01,107.7
2012-07-01,01,107.8
2012-08-01,01,108.0
2012-09-01,01,108.0
2012-10-01,01,108.4
2012-11-01,01,108.4
2012-12-01,01,108.7
2013-01-01,01,109.9
2013-02-01,01,110.2
2013-03-01,01,110.2
2013-04-01,01,110.4
2013-05-01,01,110.8
2013-06-01,01,111.2
2013-07-01,01,112.0
2013-08-01,01,111.9
2013-09-01,01,112.2
2013-10-01,01,112.4
2013-11-01,01,112.6
2013-12-01,01,113.6
2014-01-01,01,114.5
2014-02-01,01,114.4
2014-03-01,01,114.5
2014-04-01,01,114.4
2014-05-01,01,114.5
2014-06-01,01,115.1
2014-07-01,01,115.5
2014-08-01,01,115.6
2014-09-01,01,115.8
2014-10-01,01,115.6
2014-11-01,01,115.9
2014-12-01,01,116.3
2015-01-01,01,117.7
2015-02-01,01,117.5
2015-03-01,01,117.1
2015-04-01,01,118.0
2015-05-01,01,118.5
2015-06-01,01,119.0
2015-07-01,01,119.9
2015-08-01,01,120.5
2015-09-01,01,120.8
2015-10-01,01,121.0
2015-11-01,01,120.7
2015-12-01,01,121.6
2016-01-01,01,122.3
2016-02-01,01,123.1
2016-03-01,01,123.0
2016-04-01,01,123.0
2016-05-01,01,123.4
2016-06-01,01,124.0
2016-07-01,01,124.4
2016-08-01,01,124.7
2016-09-01,01,124.4
2016-10-01,01,124.0
2016-11-01,01,124.9
2016-12-01,01,125.7
2017-01-01,01,126.8
2017-02-01,01,128.0
2017-03-01,01,127.5
2017-04-01,01,127.6
2017-05-01,01,128.3
2017-06-01,01,128.8
2017-07-01,01,129.2
2017-08-01,01,129.6
2017-09-01,01,129.7
2017-10-01,01,129.4
2017-11-01,01,129.9
2017-12-01,01,130.8
2018-01-01,01,131.6
2018-02-01,01,131.8
2018-03-01,01,131.1
2018-04-01,01,130.9
2018-05-01,01,131.1
2018-06-01,01,129.8
2018-07-01,01,130.1
2018-08-01,01,130.1
2018-09-01,01,130.3
2018-10-01,01,131.0
2018-11-01,01,131.3
2018-12-01,01,131.7
2019-01-01,01,132.9
2019-02-01,01,133.1
2019-03-01,01,132.5
2019-04-01,01,132.3
2019-05-01,01,132.7
2019-06-01,01,132.8
2019-07-01,01,133.2
2019-08-01,01,133.5
2019-09-01,01,133.2
2019-10-01,01,133.3
2019-11-01,01,133.3
2019-12-01,01,133.9
2020-01-01,01,134.1
2020-02-01,01,134.2
2020-03-01,01,134.1
2020-04-01,01,133.9
2020-05-01,01,134.3
2020-06-01,01,134.9
2020-07-01,01,135.0
2020-08-01,01,135.2
2020-09-01,01,135.1
2020-10-01,01,135.3
2020-11-01,01,135.1
2020-12-01,01,135.8
2021-01-01,01,136.1
2021-02-01,01,136.1
2021-03-01,01,136.1
2021-04-01,01,136.5
2021-05-01,01,136.3
2021-06-01,01,136.7
2021-07-01,01,136.7
2021-08-01,01,136.8
2021-09-01,01,137.6
2021-10-01,01,137.9
2021-11-01,01,138.7
2021-12-01,01,140.1
2022-01-01,01,141.0
2022-02-01,01,141.2
2022-03-01,01,141.6
2022-04-01,01,142.1
2022-05-01,01,143.4
2022-06-01,01,145.1
2022-07-01,01,146.1
2022-08-01,01,146.6
2022-09-01,01,147.0
2022-10-01,01,147.7
2022-11-01,01,148.8
2022-12-01,01,149.6
2023-01-01,01,150.5
2023-02-01,01,151.1
2023-03-01,01,151.3
2023-04-01,01,151.1
2023-05-01,01,151.8
2023-06-01,01,151.9
2023-07-01,01,152.5
2023-08-01,01,152.6
2023-09-01,01,152.8
2023-10-01,01,153.0
2023-11-01,01,152.6
2023-12-01,01,153.0
2024-01-01,01,153.5
2024-02-01,01,153.9
2024-03-01,01,153.9
2024-04-01,01,154.1
2010-01-01,02,98.3
2010-02-01,02,98.3
2010-03-01,02,98.4
2010-04-01,02,98.4
2010-05-01,02,98.4
2010-06-01,02,98.5
2010-07-01,02,98.6
2010-08-01,02,98.6
2010-09-01,02,98.7
2010-10-01,02,104.6
2010-11-01,02,104.6
2010-12-01,02,104.6
2011-01-01,02,104.6
2011-02-01,02,104.6
2011-03-01,02,104.6
2011-04-01,02,104.6
2011-05-01,02,104.6
2011-06-01,02,104.7
2011-07-01,02,104.6
2011-08-01,02,104.6
2011-09-01,02,104.6
2011-10-01,02,104.6
2011-11-01,02,104.6
2011-12-01,02,104.6
2012-01-01,02,104.6
2012-02-01,02,104.6
2012-03-01,02,104.6
2012-04-01,02,104.6
2012-05-01,02,104.7
2012-06-01,02,104.7
2012-07-01,02,104.7
2012-08-01,02,104.8
2012-09-01,02,104.9
2012-10-01,02,104.9
2012-11-01,02,106.6
2012-12-01,02,106.6
2013-01-01,02,106.7
2013-02-01,02,106.7
2013-03-01,02,106.7
2013-04-01,02,106.7
2013-05-01,02,106.7
2013-06-01,02,109.1
2013-07-01,02,109.1
2013-08-01,02,109.1
2013-09-01,02,109.6
2013-10-01,02,121.7
2013-11-01,02,121.7
2013-12-01,02,121.6
2014-01-01,02,121.7
2014-02-01,02,121.7
2014-03-01,02,121.7
2014-04-01,02,121.7
2014-05-01,02,121.7
2014-06-01,02,121.8
2014-07-01,02,121.8
2014-08-01,02,121.8
2014-09-01,02,125.8
2014-10-01,02,121.9
2014-11-01,02,134.5
2014-12-01,02,134.5
2015-01-01,02,134.6
2015-02-01,02,134.6
2015-03-01,02,134.6
2015-04-01,02,137.5
2015-05-01,02,135.4
2015-06-01,02,135.6
2015-07-01,02,138.0
2015-08-01,02,138.1
2015-09-01,02,138.1
2015-10-01,02,138.1
2015-11-01,02,162.3
2015-12-01,02,165.1
2016-01-01,02,165.0
2016-02-01,02,165.0
2016-03-01,02,165.1
2016-04-01,02,165.1
2016-05-01,02,165.3
2016-06-01,02,165.3
2016-07-01,02,165.4
2016-08-01,02,165.3
2016-09-01,02,165.3
2016-10-01,02,165.4
2016-11-01,02,165.4
2016-12-01,02,165.3
2017-01-01,02,165.3
2017-02-01,02,165.3
2017-03-01,02,165.4
2017-04-01,02,165.4
2017-05-01,02,165.6
2017-06-01,02,165.5
2017-07-01,02,165.5
2017-08-01,02,165.5
2017-09-01,02,165.5
2017-10-01,02,165.6
2017-11-01,02,165.7
2017-12-01,02,165.6
2018-01-01,02,165.6
2018-02-01,02,165.5
2018-03-01,02,165.6
2018-04-01,02,165.7
2018-05-01,02,165.7
2018-06-01,02,164.4
2018-07-01,02,164.1
2018-08-01,02,163.9
2018-09-01,02,164.0
2018-10-01,02,164.3
2018-11-01,02,167.4
2018-12-01,02,167.5
2019-01-01,02,167.5
2019-02-01,02,167.4
2019-03-01,02,167.5
2019-04-01,02,167.7
2019-05-01,02,167.8
2019-06-01,02,167.9
2019-07-01,02,167.9
2019-08-01,02,168.0
2019-09-01,02,167.9
2019-10-01,02,167.9
2019-11-01,02,168.0
2019-12-01,02,167.8
2020-01-01,02,167.7
2020-02-01,02,167.8
2020-03-01,02,168.0
2020-04-01,02,168.0
2020-05-01,02,168.1
2020-06-01,02,168.2
2020-07-01,02,168.4
2020-08-01,02,168.5
2020-09-01,02,168.7
2020-10-01,02,168.7
2020-11-01,02,168.8
2020-12-01,02,168.8
2021-01-01,02,168.9
2021-02-01,02,168.9
2021-03-01,02,169.0
2021-04-01,02,169.1
2021-05-01,02,169.2
2021-06-01,02,169.3
2021-07-01,02,169.2
2021-08-01,02,169.2
2021-09-01,02,169.3
2021-10-01,02,169.2
2021-11-01,02,169.3
2021-12-01,02,169.3
2022-01-01,02,169.5
2022-02-01,02,169.5
2022-03-01,02,169.8
2022-04-01,02,169.9
2022-05-01,02,169.9
2022-06-01,02,170.0
2022-07-01,02,170.2
2022-08-01,02,170.3
2022-09-01,02,170.5
2022-10-01,02,170.6
2022-11-01,02,170.7
2022-12-01,02,170.5
2023-01-01,02,170.8
2023-02-01,02,170.8
2023-03-01,02,170.9
2023-04-01,02,171.0
2023-05-01,02,171.1
2023-06-01,02,171.1
2023-07-01,02,171.1
2023-08-01,02,171.1
2023-09-01,02,171.7
2023-10-01,02,171.7
2023-11-01,02,171.8
2023-12-01,02,171.6
2024-01-01,02,171.5
2024-02-01,02,171.5
2024-03-01,02,171.8
2024-04-01,02,171.9
2010-01-01,03,101.2
2010-02-01,03,100.1
2010-03-01,03,100.0
2010-04-01,03,100.5
2010-05-01,03,100.3
2010-06-01,03,99.5
2010-07-01,03,100.1
2010-08-01,03,99.2
2010-09-01,03,100.4
2010-10-01,03,100.2
2010-11-01,03,99.8
2010-12-01,03,98.8
2011-01-01,03,99.9
2011-02-01,03,100.1
2011-03-01,03,99.8
2011-04-01,03,99.8
2011-05-01,03,99.8
2011-06-01,03,99.8
2011-07-01,03,99.6
2011-08-01,03,99.3
2011-09-01,03,99.8
2011-10-01,03,99.7
2011-11-01,03,99.9
2011-12-01,03,99.6
2012-01-01,03,99.4
2012-02-01,03,99.8
2012-03-01,03,99.4
2012-04-01,03,99.5
2012-05-01,03,99.5
2012-06-01,03,99.2
2012-07-01,03,99.1
2012-08-01,03,98.7
2012-09-01,03,99.1
2012-10-01,03,99.0
2012-11-01,03,99.0
2012-12-01,03,98.6
2013-01-01,03,98.9
2013-02-01,03,98.6
2013-03-01,03,98.9
2013-04-01,03,98.8
2013-05-01,03,98.8
2013-06-01,03,98.6
2013-07-01,03,98.3
2013-08-01,03,98.3
2013-09-01,03,98.6
2013-10-01,03,98.6
2013-11-01,03,98.7
2013-12-01,03,98.3
2014-01-01,03,98.7
2014-02-01,03,98.8
2014-03-01,03,98.8
2014-04-01,03,98.7
2014-05-01,03,98.6
2014-06-01,03,98.5
2014-07-01,03,98.1
2014-08-01,03,98.1
2014-09-01,03,98.3
2014-10-01,03,98.2
2014-11-01,03,98.3
2014-12-01,03,98.0
2015-01-01,03,98.6
2015-02-01,03,98.2
2015-03-01,03,98.6
2015-04-01,03,99.4
2015-05-01,03,99.5
2015-06-01,03,99.2
2015-07-01,03,99.0
2015-08-01,03,98.8
2015-09-01,03,99.0
2015-10-01,03,98.9
2015-11-01,03,98.9
2015-12-01,03,98.8
2016-01-01,03,99.0
2016-02-01,03,98.7
2016-03-01,03,98.6
2016-04-01,03,98.7
2016-05-01,03,98.6
2016-06-01,03,98.6
2016-07-01,03,98.4
2016-08-01,03,98.2
2016-09-01,03,98.4
2016-10-01,03,98.4
2016-11-01,03,98.4
2016-12-01,03,98.3
2017-01-01,03,98.3
2017-02-01,03,98.5
2017-03-01,03,98.4
2017-04-01,03,98.6
2017-05-01,03,98.4
2017-06-01,03,98.2
2017-07-01,03,98.0
2017-08-01,03,97.9
2017-09-01,03,98.1
2017-10-01,03,98.0
2017-11-01,03,97.9
2017-12-01,03,97.8
2018-01-01,03,98.0
2018-02-01,03,97.8
2018-03-01,03,97.7
2018-04-01,03,97.8
2018-05-01,03,97.7
2018-06-01,03,95.2
2018-07-01,03,95.1
2018-08-01,03,95.1
2018-09-01,03,95.0
2018-10-01,03,95.0
2018-11-01,03,94.9
2018-12-01,03,94.7
2019-01-01,03,94.8
2019-02-01,03,94.7
2019-03-01,03,94.8
2019-04-01,03,94.7
2019-05-01,03,94.6
2019-06-01,03,94.5
2019-07-01,03,94.1
2019-08-01,03,94.1
2019-09-01,03,94.1
2019-10-01,03,93.8
2019-11-01,03,93.9
2019-12-01,03,93.8
2020-01-01,03,93.7
2020-02-01,03,93.7
2020-03-01,03,93.6
2020-04-01,03,93.6
2020-05-01,03,93.6
2020-06-01,03,93.5
2020-07-01,03,93.5
2020-08-01,03,93.5
2020-09-01,03,93.5
2020-10-01,03,93.4
2020-11-01,03,93.4
2020-12-01,03,93.4
2021-01-01,03,93.3
2021-02-01,03,93.3
2021-03-01,03,93.3
2021-04-01,03,93.2
2021-05-01,03,93.1
2021-06-01,03,93.1
2021-07-01,03,93.1
2021-08-01,03,93.1
2021-09-01,03,93.0
2021-10-01,03,93.0
2021-11-01,03,93.0
2021-12-01,03,93.0
2022-01-01,03,93.0
2022-02-01,03,93.1
2022-03-01,03,93.0
2022-04-01,03,93.0
2022-05-01,03,93.1
2022-06-01,03,93.3
2022-07-01,03,93.4
2022-08-01,03,93.4
2022-09-01,03,93.4
2022-10-01,03,93.4
2022-11-01,03,93.4
2022-12-01,03,93.4
2023-01-01,03,93.5
2023-02-01,03,93.5
2023-03-01,03,93.5
2023-04-01,03,93.5
2023-05-01,03,93.5
2023-06-01,03,93.4
2023-07-01,03,93.5
2023-08-01,03,93.4
2023-09-01,03,93.5
2023-10-01,03,93.4
2023-11-01,03,93.4
2023-12-01,03,93.4
2024-01-01,03,93.3
2024-02-01,03,93.3
2024-03-01,03,93.3
2024-04-01,03,93.2
2010-01-01,04,99.4
2010-02-01,04,99.6
2010-03-01,04,99.6
2010-04-01,04,99.6
2010-05-01,04,99.8
2010-06-01,04,99.8
2010-07-01,04,99.9
2010-08-01,04,100.3
2010-09-01,04,100.3
2010-10-01,04,100.3
2010-11-01,04,100.7
2010-12-01,04,100.8
2011-01-01,04,100.8
2011-02-01,04,101.1
2011-03-01,04,101.2
2011-04-01,04,101.2
2011-05-01,04,101.6
2011-06-01,04,101.7
2011-07-01,04,101.8
2011-08-01,04,102.3
2011-09-01,04,102.3
2011-10-01,04,102.3
2011-11-01,04,102.5
2011-12-01,04,102.5
2012-01-01,04,102.6
2012-02-01,04,103.0
2012-03-01,04,103.0
2012-04-01,04,103.0
2012-05-01,04,103.2
2012-06-01,04,103.2
2012-07-01,04,103.3
2012-08-01,04,103.8
2012-09-01,04,103.8
2012-10-01,04,103.8
2012-11-01,04,104.0
2012-12-01,04,104.0
2013-01-01,04,104.0
2013-02-01,04,104.3
2013-03-01,04,104.3
2013-04-01,04,104.3
2013-05-01,04,105.3
2013-06-01,04,105.3
2013-07-01,04,105.3
2013-08-01,04,105.7
2013-09-01,04,105.7
2013-10-01,04,105.7
2013-11-01,04,106.4
2013-12-01,04,106.5
2014-01-01,04,107.3
2014-02-01,04,108.0
2014-03-01,04,108.1
2014-04-01,04,108.1
2014-05-01,04,108.6
2014-06-01,04,108.7
2014-07-01,04,108.7
2014-08-01,04,109.3
2014-09-01,04,109.3
2014-10-01,04,109.3
2014-11-01,04,110.1
2014-12-01,04,110.1
2015-01-01,04,109.6
2015-02-01,04,110.6
2015-03-01,04,110.2
2015-04-01,04,110.6
2015-05-01,04,111.4
2015-06-01,04,111.4
2015-07-01,04,111.4
2015-08-01,04,112.2
2015-09-01,04,112.2
2015-10-01,04,112.2
2015-11-01,04,112.8
2015-12-01,04,112.8
2016-01-01,04,113.0
2016-02-01,04,113.5
2016-03-01,04,113.6
2016-04-01,04,113.5
2016-05-01,04,114.1
2016-06-01,04,114.1
2016-07-01,04,114.1
2016-08-01,04,114.6
2016-09-01,04,114.6
2016-10-01,04,114.6
2016-11-01,04,115.2
2016-12-01,04,115.2
2017-01-01,04,115.2
2017-02-01,04,116.0
2017-03-01,04,116.1
2017-04-01,04,116.1
